"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin Portal","0","Coupon Packages","2","11","Customer Coupon Packages","0"
"0","Admin Portal","0","Coupon Packages","5","1","Edge Cases","0"
"1","Admin Portal","0","Coupon Packages","4","1","Edit","0"
"0","Admin Portal","0","Coupon Packages","4","0","UI","0"
"0","Admin Portal","0","Coupon Packages","8","0","Search and Filter","0"
"0","Admin Portal","0","Coupon Packages","3","0","CRUD","0"
"0","Admin Portal","0","Coupon Packages","2","0","Negative","0"
"0","Admin Portal","0","Coupon Packages","3","0","Validation","0"
