"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin Portal","0","Sites / Locations","14","0","Validation","0"
"2","Admin Portal","1","Sites / Locations","15","3","Edit","0"
"0","Admin Portal","0","Sites / Locations","0","7","Dependency","0"
"0","Admin Portal","0","Sites / Locations","1","1","Export","0"
"0","Admin Portal","0","Sites / Locations","3","0","Edge Cases","0"
"0","Admin Portal","0","Sites / Locations","6","0","CRUD","0"
"0","Admin Portal","0","Sites / Locations","7","0","Filters","0"
"0","Admin Portal","0","Sites / Locations","4","0","UI","0"
"0","Admin Portal","0","Sites / Locations","2","0","Negative","0"
